"Time (s) Run #2";"Angle, Ch 1+2 (rad) Run #2";"Angular Velocity, Ch 1+2 (rad/s) Run #2";"Angular Acceleration, Ch 1+2 (rad/s²) Run #2";"Position, Ch 1+2 (m) Run #2";"Velocity, Ch 1+2 (m/s) Run #2";"Acceleration, Ch 1+2 (m/s²) Run #2";"Angle, Ch 3+4 (rad) Run #2";"Angular Velocity, Ch 3+4 (rad/s) Run #2";"Angular Acceleration, Ch 3+4 (rad/s²) Run #2";"Position, Ch 3+4 (m) Run #2";"Velocity, Ch 3+4 (m/s) Run #2";"Acceleration, Ch 3+4 (m/s²) Run #2";"Output Voltage (V) Run #2";"Output Current (A) Run #2";"Time (s) Run #3";"Angle, Ch 1+2 (rad) Run #3";"Angular Velocity, Ch 1+2 (rad/s) Run #3";"Angular Acceleration, Ch 1+2 (rad/s²) Run #3";"Position, Ch 1+2 (m) Run #3";"Velocity, Ch 1+2 (m/s) Run #3";"Acceleration, Ch 1+2 (m/s²) Run #3";"Angle, Ch 3+4 (rad) Run #3";"Angular Velocity, Ch 3+4 (rad/s) Run #3";"Angular Acceleration, Ch 3+4 (rad/s²) Run #3";"Position, Ch 3+4 (m) Run #3";"Velocity, Ch 3+4 (m/s) Run #3";"Acceleration, Ch 3+4 (m/s²) Run #3";"Output Voltage (V) Run #3";"Output Current (A) Run #3";"Time (s) Run #4";"Angle, Ch 1+2 (rad) Run #4";"Angular Velocity, Ch 1+2 (rad/s) Run #4";"Angular Acceleration, Ch 1+2 (rad/s²) Run #4";"Position, Ch 1+2 (m) Run #4";"Velocity, Ch 1+2 (m/s) Run #4";"Acceleration, Ch 1+2 (m/s²) Run #4";"Angle, Ch 3+4 (rad) Run #4";"Angular Velocity, Ch 3+4 (rad/s) Run #4";"Angular Acceleration, Ch 3+4 (rad/s²) Run #4";"Position, Ch 3+4 (m) Run #4";"Velocity, Ch 3+4 (m/s) Run #4";"Acceleration, Ch 3+4 (m/s²) Run #4";"Output Voltage (V) Run #4";"Output Current (A) Run #4"
1,050;-3,473;-12,508;70,201;-0,0829;-0,299;1,676;0,000;0,000;0,000;0,0000;0,000;0,000;0,002;-8,296E-4;1,050;0,000;0,000;0,000;0,0000;0,000;0,000;0,000;0,000;0,000;0,0000;0,000;0,000;0,002;-6,999E-4;1,050;7,994;-0,349;-145,638;0,1908;-0,008;-3,477;-0,035;-0,116;0,776;-8,3333E-4;-0,003;0,019;0,002;-7,443E-4
1,100;-4,014;-8,610;80,285;-0,0958;-0,206;1,917;0,000;0,000;0,000;0,0000;0,000;0,000;0,002;-7,618E-4;1,100;0,000;0,000;0,000;0,0000;0,000;0,000;0,000;0,000;0,000;0,0000;0,000;0,000;0,002;-7,951E-4;1,100;7,784;-7,679;-139,820;0,1858;-0,183;-3,338;-0,035;-0,058;1,357;-8,3333E-4;-0,001;0,032;0,002;-7,234E-4
1,150;-4,346;-4,305;85,521;-0,1037;-0,103;2,042;0,000;0,000;0,000;0,0000;0,000;0,000;0,002;-8,557E-4;1,150;0,000;0,000;0,000;0,0000;0,000;0,000;0,000;0,000;0,000;0,0000;0,000;0,000;0,002;-7,402E-4;1,150;7,208;-14,544;-127,991;0,1721;-0,347;-3,056;-0,035;0,058;1,357;-8,3333E-4;0,001;0,032;0,002;-7,759E-4
1,200;-4,451;0,116;85,909;-0,1062;0,003;2,051;0,000;0,000;0,000;0,0000;0,000;0,000;0,002;-7,962E-4;1,200;0,000;0,000;0,000;0,0000;0,000;0,000;0,000;0,000;0,000;0,0000;0,000;0,000;0,002;-7,434E-4;1,200;6,301;-20,653;-110,538;0,1504;-0,493;-2,639;-0,035;0,116;0,776;-8,3333E-4;0,003;0,019;0,002;-7,409E-4
1,250;-4,328;4,422;82,030;-0,1033;0,106;1,958;0,000;0,000;0,000;0,0000;0,000;0,000;0,002;-8,164E-4;1,250;0,000;0,000;0,000;0,0000;0,000;0,000;0,000;0,000;0,000;0,0000;0,000;0,000;0,002;-7,917E-4;1,250;5,114;-25,773;-88,042;0,1221;-0,615;-2,102;-0,017;0,116;0,194;-4,1667E-4;0,003;0,005;0,002;-8,178E-4
1,300;-3,997;8,436;74,467;-0,0954;0,201;1,778;0,000;0,000;0,000;0,0000;0,000;0,000;0,002;-8,008E-4;1,300;0,000;0,000;0,000;0,0000;0,000;0,000;0,000;0,000;0,000;0,0000;0,000;0,000;0,002;-6,633E-4;1,300;3,683;-29,612;-60,699;0,0879;-0,707;-1,449;-0,017;0,116;-5,551E-16;-4,1667E-4;0,003;0,000;0,002;-7,802E-4
1,350;-3,473;11,985;63,414;-0,0829;0,286;1,514;0,000;0,000;0,000;0,0000;0,000;0,000;0,002;-7,003E-4;1,350;0,000;0,000;0,000;0,0000;0,000;0,000;0,000;0,000;0,000;0,0000;0,000;0,000;0,002;-5,978E-4;1,350;2,094;-31,998;-28,895;0,0500;-0,764;-0,690;-0,017;0,116;-0,194;-4,1667E-4;0,003;-0,005;0,002;-7,223E-4
1,400;-2,775;14,893;49,257;-0,0662;0,356;1,176;0,000;0,000;0,000;0,0000;0,000;0,000;0,002;-8,128E-4;1,400;0,000;0,000;0,000;0,0000;0,000;0,000;0,000;0,000;0,000;0,0000;0,000;0,000;0,002;-6,746E-4;1,400;0,436;-32,638;6,012;0,0104;-0,779;0,144;0,000;0,116;-0,582;0,0000;0,003;-0,014;0,002;-7,531E-4
1,450;-1,955;16,988;32,967;-0,0467;0,406;0,787;0,000;0,000;0,000;0,0000;0,000;0,000;0,002;-7,865E-4;1,450;0,000;0,000;0,000;0,0000;0,000;0,000;0,000;0,000;0,000;0,0000;0,000;0,000;0,002;-6,983E-4;1,450;-1,239;-31,416;41,112;-0,0296;-0,750;0,981;0,000;0,058;-0,776;0,0000;0,001;-0,019;0,002;-7,532E-4
1,500;-1,047;18,210;15,708;-0,0250;0,435;0,375;0,000;0,000;0,000;0,0000;0,000;0,000;0,002;-7,949E-4;1,500;0,000;0,000;0,000;0,0000;0,000;0,000;0,000;0,000;0,000;0,0000;0,000;0,000;0,002;-6,906E-4;1,500;-2,775;-28,391;72,140;-0,0662;-0,678;1,722;0,000;0,000;-0,582;0,0000;0,000;-0,014;0,002;-6,983E-4
1,550;-0,105;18,559;-1,939;-0,0025;0,443;-0,046;0,000;0,000;0,000;0,0000;0,000;0,000;0,002;-8,214E-4;1,550;0,000;0,000;0,000;0,0000;0,000;0,000;0,000;0,000;0,000;0,0000;0,000;0,000;0,002;-7,615E-4;1,550;-4,119;-23,911;96,575;-0,0983;-0,571;2,306;0,000;0,000;-0,194;0,0000;0,000;-0,005;0,002;-7,452E-4
1,600;0,838;18,035;-19,586;0,0200;0,431;-0,468;0,000;0,000;0,000;0,0000;0,000;0,000;0,002;-7,720E-4;1,600;0,000;0,000;0,000;0,0000;0,000;0,000;0,000;0,000;0,000;0,0000;0,000;0,000;0,002;-7,434E-4;1,600;-5,201;-18,500;114,610;-0,1242;-0,442;2,736;0,000;0,000;0,000;0,0000;0,000;0,000;0,002;-7,382E-4
1,650;1,728;16,581;-36,458;0,0412;0,396;-0,870;0,000;0,000;0,000;0,0000;0,000;0,000;0,002;-8,106E-4;1,650;0,000;0,000;0,000;0,0000;0,000;0,000;0,000;0,000;0,000;0,0000;0,000;0,000;0,002;-7,845E-4;1,650;-5,986;-12,334;127,409;-0,1429;-0,294;3,042;0,000;0,000;0,000;0,0000;0,000;0,000;0,002;-8,058E-4
1,700;2,531;14,312;-51,196;0,0604;0,342;-1,222;0,000;0,000;0,000;0,0000;0,000;0,000;0,002;-7,312E-4;1,700;0,000;0,000;0,000;0,0000;0,000;0,000;0,000;0,000;0,000;0,0000;0,000;0,000;0,002;-7,352E-4;1,700;-6,458;-5,585;134,390;-0,1542;-0,133;3,208;0,000;0,000;0,000;0,0000;0,000;0,000;0,002;-6,715E-4
1,750;3,176;11,345;-62,832;0,0758;0,271;-1,500;0,000;0,000;0,000;0,0000;0,000;0,000;0,002;-7,954E-4;1,750;0,000;0,000;0,000;0,0000;0,000;0,000;0,000;0,000;0,000;0,0000;0,000;0,000;0,002;-8,221E-4;1,750;-6,562;1,396;133,227;-0,1567;0,033;3,181;0,000;0,000;0,000;0,0000;0,000;0,000;0,002;-7,019E-4
1,800;3,683;7,912;-71,171;0,0879;0,189;-1,699;0,000;0,000;0,000;0,0000;0,000;0,000;0,002;-8,128E-4;1,800;0,000;0,000;0,000;0,0000;0,000;0,000;0,000;0,000;0,000;0,0000;0,000;0,000;0,002;-7,743E-4;1,800;-6,301;8,087;123,337;-0,1504;0,193;2,944;0,000;0,000;0,000;0,0000;0,000;0,000;0,002;-7,543E-4
1,850;3,979;4,131;-76,019;0,0950;0,099;-1,815;0,000;0,000;0,000;0,0000;0,000;0,000;0,002;-7,960E-4;1,850;0,000;0,000;0,000;0,0000;0,000;0,000;0,000;0,000;0,000;0,0000;0,000;0,000;0,002;-7,489E-4;1,850;-5,725;13,963;107,047;-0,1367;0,333;2,556;0,000;0,000;0,000;0,0000;0,000;0,000;0,002;-6,717E-4
1,900;4,102;0,175;-77,182;0,0979;0,004;-1,843;0,000;0,000;0,000;0,0000;0,000;0,000;0,002;-7,960E-4;1,900;0,000;0,000;0,000;0,0000;0,000;0,000;0,000;0,000;0,000;0,0000;0,000;0,000;0,002;-7,189E-4;1,900;-4,869;18,850;87,460;-0,1162;0,450;2,088;0,000;0,000;0,000;0,0000;0,000;0,000;0,002;-7,277E-4
1,950;3,997;-3,723;-74,273;0,0954;-0,089;-1,773;0,000;0,000;0,000;0,0000;0,000;0,000;0,002;-7,820E-4;1,950;0,000;0,000;0,000;0,0000;0,000;0,000;0,000;0,000;0,000;0,0000;0,000;0,000;0,002;-7,216E-4;1,950;-3,805;22,747;65,935;-0,0908;0,543;1,574;0,000;0,000;0,000;0,0000;0,000;0,000;0,002;-8,475E-4
2,000;3,718;-7,389;-67,680;0,0887;-0,176;-1,616;0,000;0,000;0,000;0,0000;0,000;0,000;0,002;-7,588E-4;2,000;0,000;0,000;0,000;0,0000;0,000;0,000;0,000;0,000;0,000;0,0000;0,000;0,000;0,002;-7,452E-4;2,000;-2,566;25,540;42,082;-0,0612;0,610;1,005;0,000;0,000;0,000;0,0000;0,000;0,000;0,002;-7,874E-4
2,050;3,246;-10,588;-57,984;0,0775;-0,253;-1,384;0,000;0,000;0,000;0,0000;0,000;0,000;0,002;-7,931E-4;2,050;0,000;0,000;0,000;0,0000;0,000;0,000;0,000;0,000;0,000;0,0000;0,000;0,000;0,002;-7,786E-4;2,050;-1,204;27,053;16,290;-0,0287;0,646;0,389;0,000;0,000;0,000;0,0000;0,000;0,000;0,002;-7,076E-4
2,100;2,635;-13,265;-46,154;0,0629;-0,317;-1,102;0,000;0,000;0,000;0,0000;0,000;0,000;0,002;-8,115E-4;2,100;0,000;0,000;0,000;0,0000;0,000;0,000;0,000;0,000;0,000;0,0000;0,000;0,000;0,002;-6,946E-4;2,100;0,192;27,169;-9,502;0,0046;0,649;-0,227;0,000;0,000;0,000;0,0000;0,000;0,000;0,002;-6,322E-4
2,150;1,902;-15,243;-32,967;0,0454;-0,364;-0,787;0,000;0,000;0,000;0,0000;0,000;0,000;0,002;-7,908E-4;2,150;0,000;0,000;0,000;0,0000;0,000;0,000;0,000;0,000;0,000;0,0000;0,000;0,000;0,002;-7,842E-4;2,150;1,553;26,005;-33,743;0,0371;0,621;-0,806;0,000;0,000;0,000;0,0000;0,000;0,000;0,002;-7,540E-4
2,200;1,082;-16,581;-18,423;0,0258;-0,396;-0,440;0,000;0,000;0,000;0,0000;0,000;0,000;0,002;-8,151E-4;2,200;0,000;0,000;0,000;0,0000;0,000;0,000;0,000;0,000;0,000;0,0000;0,000;0,000;0,002;-7,055E-4;2,200;2,827;23,736;-56,238;0,0675;0,567;-1,343;0,000;0,000;-0,194;0,0000;0,000;-0,005;0,002;-7,243E-4
2,250;0,227;-17,162;-2,521;0,0054;-0,410;-0,060;0,000;0,000;0,000;0,0000;0,000;0,000;0,002;-8,224E-4;2,250;0,000;0,000;0,000;0,0000;0,000;0,000;0,000;0,000;0,000;0,0000;0,000;0,000;0,002;-6,937E-4;2,250;3,962;20,362;-77,182;0,0946;0,486;-1,843;0,000;0,000;-0,582;0,0000;0,000;-0,014;0,002;-7,556E-4
2,300;-0,663;-16,872;14,350;-0,0158;-0,403;0,343;0,000;0,000;0,000;0,0000;0,000;0,000;0,002;-7,495E-4;2,300;0,000;0,000;0,000;0,0000;0,000;0,000;0,000;0,000;0,000;0,0000;0,000;0,000;0,002;-7,672E-4;2,300;4,904;15,941;-95,217;0,1171;0,381;-2,273;0,000;-0,058;-0,776;0,0000;-0,001;-0,019;0,002;-7,797E-4
2,350;-1,501;-15,708;30,834;-0,0358;-0,375;0,736;0,000;0,000;0,000;0,0000;0,000;0,000;0,002;-7,810E-4;2,350;0,000;0,000;0,000;0,0000;0,000;0,000;0,000;0,000;0,000;0,0000;0,000;0,000;0,002;-7,699E-4;2,350;5,585;10,647;-107,823;0,1333;0,254;-2,574;0,000;-0,116;-0,388;0,0000;-0,003;-0,009;0,002;-7,225E-4
2,400;-2,251;-13,730;45,766;-0,0537;-0,328;1,093;0,000;0,000;0,000;0,0000;0,000;0,000;0,002;-8,081E-4;2,400;0,000;0,000;0,000;0,0000;0,000;0,000;0,000;0,000;0,000;0,0000;0,000;0,000;0,002;-7,738E-4;2,400;5,986;4,887;-113,446;0,1429;0,117;-2,708;-0,017;-0,116;0,388;-4,1667E-4;-0,003;0,009;0,002;-7,221E-4
2,450;-2,897;-11,054;58,178;-0,0692;-0,264;1,389;0,000;0,000;0,000;0,0000;0,000;0,000;0,002;-8,756E-4;2,450;0,000;0,000;0,000;0,0000;0,000;0,000;0,000;0,000;0,000;0,0000;0,000;0,000;0,002;-7,706E-4;2,450;6,074;-0,931;-112,477;0,1450;-0,022;-2,685;-0,017;-0,058;0,970;-4,1667E-4;-0,001;0,023;0,002;-8,205E-4
2,500;-3,386;-7,796;67,098;-0,0808;-0,186;1,602;0,000;0,000;0,000;0,0000;0,000;0,000;0,002;-7,411E-4;2,500;0,000;0,000;0,000;0,0000;0,000;0,000;0,000;0,000;0,000;0,0000;0,000;0,000;0,002;-7,109E-4;2,500;5,882;-6,516;-106,465;0,1404;-0,156;-2,542;-0,017;0,000;0,970;-4,1667E-4;0,000;0,023;0,002;-7,667E-4
2,550;-3,683;-4,189;72,140;-0,0879;-0,100;1,722;0,000;0,000;0,000;0,0000;0,000;0,000;0,002;-8,164E-4;2,550;0,000;0,000;0,000;0,0000;0,000;0,000;0,000;0,000;0,000;0,0000;0,000;0,000;0,002;-7,500E-4;2,550;5,411;-11,694;-96,381;0,1292;-0,279;-2,301;-0,017;0,058;0,582;-4,1667E-4;0,001;0,014;0,002;-7,792E-4
2,600;-3,805;-0,465;73,498;-0,0908;-0,011;1,755;0,000;0,000;0,000;0,0000;0,000;0,000;0,002;-8,332E-4;2,600;0,000;0,000;0,000;0,0000;0,000;0,000;0,000;0,000;0,000;0,0000;0,000;0,000;0,002;-7,590E-4;2,600;4,695;-16,290;-82,612;0,1121;-0,389;-1,972;-0,017;0,058;0,194;-4,1667E-4;0,001;0,005;0,002;-7,355E-4
